"gbifid","species","decimallatitude","decimallongitude","taxonkey"
1092916025,"Gazella gazella",33.12,35.55,"5220154"
1092916031,"Gazella gazella",33.12,35.55,"5220154"
1092916036,"Gazella gazella",32.96,35.46,"5220154"
1092916037,"Gazella gazella",32.96,35.46,"5220154"
1092916048,"Gazella gazella",32.96,35.46,"5220154"
1092916054,"Gazella gazella",32.96,35.46,"5220154"
1092917114,"Gazella gazella",31.66,34.95,"5220154"
1092917129,"Gazella gazella",31.66,34.95,"5220154"
1092917138,"Gazella gazella",31.66,34.95,"5220154"
1098627279,"Pan troglodytes",-0.1574,30.269,"5219534"
1098627281,"Pan troglodytes",-0.1507,30.267,"5219534"
1098627282,"Pan troglodytes",-0.3652,30.1007,"5219534"
1098627283,"Pan troglodytes",-0.16,30.2731,"5219534"
1098627284,"Pan troglodytes",-0.3704,30.1047,"5219534"
1098627285,"Pan troglodytes",-0.1777,30.2576,"5219534"
1098627286,"Pan troglodytes",-0.3653,30.0992,"5219534"
1098627287,"Pan troglodytes",-0.3523,30.1226,"5219534"
1098627288,"Pan troglodytes",-0.3735,30.0304,"5219534"
1098627289,"Pan troglodytes",-0.3653,30.0992,"5219534"
1098627290,"Pan troglodytes",-0.356,30.1452,"5219534"
1098627291,"Pan troglodytes",-0.1551,30.2675,"5219534"
1098627292,"Pan troglodytes",0.8234,30.5073,"5219534"
1098627293,"Pan troglodytes",1.8956,31.7208,"5219534"
1098627294,"Pan troglodytes",-0.1506,30.2661,"5219534"
1098627295,"Pan troglodytes",-0.3653,30.0992,"5219534"
1098627296,"Pan troglodytes",-0.3653,30.0992,"5219534"
1098627297,"Pan troglodytes",-0.1551,30.2675,"5219534"
1098627298,"Pan troglodytes",-0.3704,30.1047,"5219534"
1098627299,"Pan troglodytes",-0.1507,30.267,"5219534"
1098627300,"Pan troglodytes",1.6513,31.5782,"5219534"
1098627301,"Pan troglodytes",-0.3653,30.0992,"5219534"
1098627302,"Pan troglodytes",-0.3714,30.1041,"5219534"
1098627303,"Pan troglodytes",-0.3546,30.2153,"5219534"
1098627304,"Pan troglodytes",-0.3769,30.0749,"5219534"
1098627305,"Pan troglodytes",-0.156,30.2683,"5219534"
1098627306,"Pan troglodytes",-0.3651,30.1007,"5219534"
1098627307,"Pan troglodytes",-0.3652,30.1007,"5219534"
1098627308,"Pan troglodytes",-0.3697,30.1034,"5219534"
1098627309,"Pan troglodytes",-0.3546,30.2153,"5219534"
1098627310,"Pan troglodytes",-0.3667,30.1012,"5219534"
1098627311,"Pan troglodytes",-0.1504,30.2674,"5219534"
1098627312,"Pan troglodytes",-0.3544,30.1426,"5219534"
1098627313,"Pan troglodytes",-0.3697,30.1034,"5219534"
1098627314,"Pan troglodytes",-0.1551,30.2675,"5219534"
1098627315,"Pan troglodytes",-0.3652,30.1007,"5219534"
1098627316,"Pan troglodytes",-0.1507,30.267,"5219534"
1098627317,"Pan troglodytes",-0.3546,30.2153,"5219534"
1098627318,"Pan troglodytes",-0.3704,30.1047,"5219534"
1098627319,"Pan troglodytes",-0.3652,30.1007,"5219534"
1098627320,"Pan troglodytes",-0.3697,30.1034,"5219534"
1098627321,"Pan troglodytes",-0.3203,30.2494,"5219534"
1098627322,"Pan troglodytes",-0.3769,30.0749,"5219534"
1098627323,"Pan troglodytes",-0.3651,30.0977,"5219534"
1098627324,"Pan troglodytes",-0.3663,30.1127,"5219534"
1098627325,"Pan troglodytes",-0.3704,30.1047,"5219534"
1098627326,"Pan troglodytes",-0.3333,30.1827,"5219534"
1098627327,"Pan troglodytes",-0.5747,29.8495,"5219534"
1098627328,"Pan troglodytes",-0.3769,30.0749,"5219534"
1098627329,"Pan troglodytes",-0.3546,30.2153,"5219534"
